category,name,status,source,source_url,note,last_checked
ATIŞTIRMALIK,Agrotalya Haşlanmış Tatlı Mısır,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Agrotalya Haşlanmış Pancar,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,"Ayla’dan Tatlar Çikolatalı, Hindistan Cevizli, Haşhaşlı, Susamlı Toplar",site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Aypop Meyve Aromalı Patlamış Mısır,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,"Bake Home (Glutenon) Simit, Zencefilli Kurabiye, Peppar Kakor",site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Burbella Hindistan Cevizli Bisküvi,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Burbella Susamlı Kraker,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Burbella Glutensiz Su Böreği,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Burbella Glutensiz Tavas Baklavası,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Canbis (BURCH) Mısır ve Pirinç Patlağı,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Cinnamon Chex tarçinli Atiştirmalik,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Çipo Barbekü Aromalı Pirinç Patlağı,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,"Çipo Peynir, Soğan Aromalı Pirinç Patlağı",site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Çipo Zeytin Kekik Aromalı Pirinç Patlağı,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Çipo Sirke Aromalı Pirinç Patlağı,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Dovido Çekirdekli Antep Karası,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Dovido Medjoul Hurma,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Dovido Kuru Erik,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Dovido Çekirdeksiz Kuru Üzüm,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Dovido Berry Mix,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Dovido Meyve Mix,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Dovido Kuru İncir,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Dovido Cranberry (Turna Yemişi),site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,"Eti Pronot Bisküvi Çeşitleri Zeytinli, Portakalli, Kakaolu ve Sade kurabiyeleri ve Kakaolu Mini Keki",site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Fasico Antep Fıstık Ezmeli Toplar,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
ATIŞTIRMALIK,Fasico Ceviz Ezmeli Toplar,site_listesinde_var_uygun,Çölyakla Yaşam Derneği,https://colyak.org.tr/glutensiz-urunler/,Çölyakla Yaşam Derneği gluten­siz ürün listesinde yer alıyor; yine de güncel etiket/alerjen bilgisi kontrol edilmeli.,2026-05-03
